iter	Passed	Remaining
0	169	16734
1	169	8324
2	170	5519
3	171	4115
4	172	3274
5	173	2717
6	174	2315
7	175	2013
8	175	1777
9	176	1589
10	177	1435
11	178	1307
12	179	1198
13	179	1105
14	180	1024
15	181	952
16	182	889
17	183	833
18	183	783
19	184	739
20	185	698
21	186	661
22	187	627
23	188	596
24	189	567
25	189	540
26	190	516
27	191	493
28	192	471
29	193	451
30	194	432
31	195	414
32	196	398
33	196	382
34	197	367
35	198	352
36	199	339
37	200	326
38	200	314
39	201	302
40	202	291
41	203	280
42	204	270
43	204	260
44	205	251
45	206	242
46	207	233
47	208	225
48	208	217
49	209	209
50	210	202
51	211	195
52	212	188
53	212	181
54	213	174
55	214	168
56	215	162
57	216	156
58	216	150
59	217	145
60	218	139
61	219	134
62	220	129
63	220	124
64	221	119
65	222	114
66	223	110
67	224	105
68	225	101
69	225	96
70	226	92
71	227	88
72	228	84
73	229	80
74	230	76
75	230	72
76	231	69
77	232	65
78	233	61
79	233	58
80	234	55
81	235	51
82	236	48
83	237	45
84	237	41
85	238	38
86	239	35
87	240	32
88	241	29
89	242	26
90	242	24
91	243	21
92	244	18
93	245	15
94	246	12
95	247	10
96	247	7
97	248	5
98	249	2
99	250	0
